
G = Sp(6, 2),  |G| = 1451520
    O(7,2)

Sp(6, 2)-conjugacy classes:  1369
Total subgroups:               11094174

Isomorphism classes  (Sp(6, 2)-conjugacy):

  Isomorphism type                Order   Conj.classes  #Subgroups  Name
  --------------------------------------------------------------------------
  Nonabelian(ord=512)                512             1        2835  Nonabelian(ord=512)
  SmallGroup(576, 8277)              576             2        2520  ((((C2 x C2 x C2) : (C2 x C2)) : C3) : C2) : C3
  SmallGroup(576, 8280)              576             1        2520  (SL(2,3) x A4) : C2
  SmallGroup(576, 8282)              576             1        1260  (((C2 x C2 x C2) : (C2 x C2)) : (C3 x C3)) : C2
  SmallGroup(576, 8652)              576             2        1260  (A4 x A4) : C4
  SmallGroup(576, 8653)              576             3        2520  S4 x S4
  SmallGroup(576, 8654)              576             3        2520  ((((C2 x C2 x C2 x C2) : C3) : C2) : C3) : C2
  SmallGroup(576, 8655)              576             1        1260  C2 x S4 x A4
  SmallGroup(576, 8656)              576             1        1260  C2 x ((A4 x A4) : C2)
  SmallGroup(576, 8657)              576             1         630  C2 x ((A4 x A4) : C2)
  SmallGroup(640, 21536)             640             1        2268  C2 x (((C2 x C2 x C2 x C2) : C5) : C4)
  SmallGroup(648, 533)               648             1        1120  (((C3 x C3) : C3) : Q8) : C3
  SmallGroup(648, 703)               648             1        1120  (((C3 x C3 x C3) : (C2 x C2)) : C3) : C2
  SmallGroup(648, 704)               648             1        1120  (((C3 x C3 x C3) : (C2 x C2)) : C3) : C2
  SmallGroup(648, 705)               648             1        1120  (S3 x S3 x S3) : C3
  SmallGroup(720, 763)               720             4        3360  S6
  SmallGroup(720, 766)               720             2        2016  C2 x A6
  SmallGroup(720, 767)               720             2        4032  S5 x S3
  Nonabelian(ord=768)                768            14       12915  Nonabelian(ord=768)
  SmallGroup(960, 11358)             960             1         378  (C2 x C2 x C2 x C2) : A5
  SmallGroup(1080, 487)             1080             1         336  C3 x A6
  Nonabelian(ord=1152)              1152             9        5985  Nonabelian(ord=1152)
  SmallGroup(1296, 2891)            1296             1        1120  ((((C3 x C3) : C3) : Q8) : C3) : C2
  SmallGroup(1296, 3490)            1296             1        1120  ((((C3 x C3 x C3) : (C2 x C2)) : C3) : C2) : C2
  SmallGroup(1344, 814)             1344             1        1080  (C2 x C2 x C2) . PSL(3,2)
  SmallGroup(1344, 11686)           1344             1        1080  (C2 x C2 x C2) : PSL(3,2)
  SmallGroup(1344, 11691)           1344             1        1080  (C2 x C2 x C2 x C2 x C2 x C2) : (C7 : C3)
  SmallGroup(1440, 5842)            1440             2        2016  C2 x S6
  SmallGroup(1512, 779)             1512             1         960  PSL(2,8) : C3
  Nonabelian(ord=1536)              1536             3        2835  Nonabelian(ord=1536)
  Nonabelian(ord=1920)              1920             4        1512  Nonabelian(ord=1920)
  Nonabelian(ord=2160)              2160             3        1008  Nonabelian(ord=2160)
  Nonabelian(ord=2304)              2304             4        1575  Nonabelian(ord=2304)
  Nonabelian(ord=2520)              2520             1         288  Nonabelian(ord=2520)
  Nonabelian(ord=3840)              3840             2         756  Nonabelian(ord=3840)
